SourceFile,File:FileSize,PDF:CreateDate,PDF:PageCount
10.7717%2Fpeerj.1368@CTRL01_protocol.pdf,166 kB,2015:07:13 16:37:20+01:00,25
10.7717%2Fpeerj.920@S5-Squid_re-analysis.pdf,522 kB,2014:06:11 19:24:15+12:00,24
10.7717%2Fpeerj.976@halldorsdottir_supplemental_cath.pdf,897 kB,2015:04:17 16:34:39-04:00,23
10.7717%2Fpeerj.864@Raw_Data.pdf,69 kB,2011:10:23 18:51:47-02:00,21
10.7717%2Fpeerj.199@supplemental_table_s2.pdf,226 kB,2013:08:23 16:51:26+09:00,19
10.7717%2Fpeerj.77@supporting table S1.pdf,2.2 MB,2013:01:26 16:28:07+01:00,19
10.7717%2Fpeerj.111@sm-single.pdf,2032 kB,2013:07:02 13:30:33Z,18
10.7717%2Fpeerj.182@SuppArticleS1_R1.pdf,124 kB,2013:10:21 21:04:51-07:00,18
10.7717%2Fpeerj.811@Raw_data.pdf,3.3 MB,2015:02:11 01:53:31,18
10.7717%2Fpeerj.111@sm-double.pdf,881 kB,2013:07:02 13:31:12Z,17
10.7717%2Fpeerj.796@20150127_VaRank_README.pdf,831 kB,2015:01:27 09:48:27+01:00,17
10.7717%2Fpeerj.808@Arioc.2.supp.pdf,577 kB,2015:01:19 07:27:31+05:00,17
10.7717%2Fpeerj.831@SupportingInformation_revised_Submit.pdf,329 kB,2015:02:11 15:32:29Z,17
10.7717%2Fpeerj.133@Supplementary_methods.pdf,154 kB,2013:05:27 16:43:32Z,16
10.7717%2Fpeerj.1246@Experiment_2_Growout_bags_with_Bivalves.pdf,414 kB,2015:02:21 18:17:43-05:00,15
10.7717%2Fpeerj.450@Supplemental_Information.pdf,542 kB,2014:03:15 22:01:06-04:00,15
10.7717%2Fpeerj.920@S4-Discrimination_analysis.pdf,122 kB,2014:06:11 19:03:29+12:00,15
10.7717%2Fpeerj.1064@Sup_Figures.pdf,2001 kB,2015:06:03 11:33:20+02:00,14
10.7717%2Fpeerj.299@Supplementary_information_2_summer_questionnaire.pdf,154 kB,2013:12:17 11:47:31Z,14
10.7717%2Fpeerj.821@Molak&Ho_RatesDecay_-_Supplementary_article.pdf,117 kB,2015:02:09 10:09:45+01:00,14
10.7717%2Fpeerj.947@PeerJ-947_Villemant_et_al._2015_French_version.pdf,750 kB,2015:05:06 18:55:17+02:00,14
10.7717%2Fpeerj.1224@Supplementary1.pdf,573 kB,2014:10:01 15:01:43Z,13
10.7717%2Fpeerj.1366@tasSuit_supplementaryMaterial1.pdf,1711 kB,2015:09:22 08:47:24+10:00,13
10.7717%2Fpeerj.1379@20150706_Herbaceous_Landlord_Supplement.pdf,1111 kB,2015:07:07 01:45:51Z,13
10.7717%2Fpeerj.504@Supplemental_Document_S1.pdf,1206 kB,2014:05:23 00:05:09-04:00,13
10.7717%2Fpeerj.976@FigS2.pdf,690 kB,2015:02:07 13:27:20-05:00,13
10.7717%2Fpeerj.118@SuppFile2.pdf,2.4 MB,2013:06:02 22:25:18-03:00,12
10.7717%2Fpeerj.1221@SupplementInfo4.pdf,11 MB,2015:07:15 14:36:22Z,11
10.7717%2Fpeerj.589@supplement-revision.pdf,477 kB,2014:08:25 11:38:25-04:00,11
10.7717%2Fpeerj.796@20150114_VaRank_TUTORIAL.pdf,616 kB,2015:01:20 15:29:30+01:00,11
10.7717%2Fpeerj.1226@Supplement_1_Kain_Bolker_McCoy.pdf,365 kB,2015:05:31 18:53:20Z,10
10.7717%2Fpeerj.179@Appendix_Jul_13.pdf,47 kB,2013:07:31 15:16:21-08:00,10
10.7717%2Fpeerj.299@Supplementary_Information_1_winter_questionnaire.pdf,112 kB,2013:12:17 11:46:34Z,10
10.7717%2Fpeerj.624@SupplementalDataS1-(Revised).pdf,1707 kB,2014:09:11 12:18:28+01:00,10
10.7717%2Fpeerj.709@Kozlov-etal-appendix1-091114.pdf,103 kB,2014:11:09 09:23:22+02:00,10
10.7717%2Fpeerj.754@raw_data_WBs.pdf,797 kB,2015:01:16 10:42:09+01:00,10
10.7717%2Fpeerj.930@Supplementary_data_tables.ONEILL_et_al.pdf,359 kB,2015:04:21 10:46:34-06:00,10
10.7717%2Fpeerj.940@Foth_etal_Allosaurus_pathologies_Suppl.pdf,1474 kB,2015:04:02 14:19:08+02:00,10
10.7717%2Fpeerj.1067@Collection_permit_17778.pdf,3.0 MB,,9
10.7717%2Fpeerj.1221@SupplementInfo1.pdf,6.9 MB,2015:02:14 09:04:48+01:00,9
10.7717%2Fpeerj.1341@Table_S1_with_references.pdf,97 kB,2015:09:08 20:29:13-03:00,9
10.7717%2Fpeerj.157@alpha_supp.pdf,238 kB,2013:08:16 13:50:30-07:00,9
10.7717%2Fpeerj.199@supplemental_table_s1.pdf,167 kB,2013:08:23 16:50:05+09:00,9
10.7717%2Fpeerj.241@Supplementary_Material-v4.pdf,203 kB,2013:11:21 10:16:11-05:00,9
10.7717%2Fpeerj.285@SupplementaryInformation_Barraquand2014PeerJ_e285.pdf,157 kB,2014:02:24 22:13:18+01:00,9
10.7717%2Fpeerj.449@supplementary.pdf,127 kB,2014:05:29 11:54:03+02:00,9
10.7717%2Fpeerj.459@Supplement_Pepper&Nettle_Out_of_control_mortality_matters.pdf,530 kB,2014:06:06 15:11:29+01:00,9
10.7717%2Fpeerj.493@Kantanen_S1.pdf,6.0 MB,0000:01:01 00:00:00,9
10.7717%2Fpeerj.607@Supplementary_Materials.pdf,507 kB,2014:09:04 19:52:53Z,9
10.7717%2Fpeerj.786@Supplemental_Table_S2.pdf,296 kB,2015:01:25 21:36:24-05:00,9
10.7717%2Fpeerj.927@Supplemental_S1.pdf,412 kB,2015:03:28 13:01:25Z,9
10.7717%2Fpeerj.1255@Supplement_2_-_additional_study_data.pdf,2.4 MB,2015:07:07 10:53:23Z,8
10.7717%2Fpeerj.1290@Information.pdf,189 kB,2015:07:09 10:29:14-05:00,8
10.7717%2Fpeerj.1376@Bacteria_ID_Service_Report.pdf,251 kB,2012:04:12 12:01:20,8
10.7717%2Fpeerj.1384@SUPPLEMENTARY_MATERIAL_1.pdf,319 kB,2015:09:30 09:40:38+02:00,8
10.7717%2Fpeerj.253@FInal_SI.pdf,412 kB,2014:01:06 10:26:26Z,8
10.7717%2Fpeerj.447@Meadow_etal_Phones_Contamination_Supplemental_R_Analysis.pdf,570 kB,2014:05:29 15:42:45-07:00,8
10.7717%2Fpeerj.610@Supplemental_Article_S1.pdf,233 kB,2014:09:08 13:24:41-05:00,8
10.7717%2Fpeerj.709@Kozlov-etal-appendix3-090914.pdf,1943 kB,2014:04:27 13:49:05+03:00,8
10.7717%2Fpeerj.834@spm_unshifted_peerJ.pdf,225 kB,2015:02:02 09:21:16-06:00,8
10.7717%2Fpeerj.869@SuppEstimatingComplexity.pdf,611 kB,2015:02:05 11:51:34-08:00,8
10.7717%2Fpeerj.1022@McCarthy_etal_Supp_corrected.pdf,1044 kB,2015:05:22 13:27:16-04:00,7
10.7717%2Fpeerj.1042@Permiso_2012-2015_RD-0245-2012-DGFFS-DGEFFS.pdf,4.5 MB,2012:07:19 20:27:09Z,7
10.7717%2Fpeerj.1237@Supplement.pdf,787 kB,2015:07:14 16:40:30-07:00,7
10.7717%2Fpeerj.1326@Supporting_Information_(7-18).pdf,111 kB,2015:07:31 00:55:56+08:00,7
10.7717%2Fpeerj.392@CODEEXAMPLE.pdf,25 kB,2014:04:30 13:20:17-04:00,7
10.7717%2Fpeerj.392@Supplement_1_FINALb.pdf,226 kB,2014:03:27 12:43:44-04:00,7
10.7717%2Fpeerj.484@Supplementary_file1.pdf,1098 kB,2014:05:24 08:28:14Z,7
10.7717%2Fpeerj.562@Roberts_&_St_John_SI1_R1.pdf,86 kB,2014:08:01 10:24:40Z,7
10.7717%2Fpeerj.861@SI.pdf,4.4 MB,2015:02:18 14:36:29+01:00,7
10.7717%2Fpeerj.920@S2-Sensitivity.pdf,208 kB,2015:02:02 12:19:27+13:00,7
10.7717%2Fpeerj.1104@Raw_data.pdf,435 kB,2015:04:28 18:29:39+08:00,6
10.7717%2Fpeerj.1203@Supplemental-Manual_PeerReview-S1.pdf,287 kB,2014:05:24 00:28:27-04:00,6
10.7717%2Fpeerj.1204@Measey_et_al_Supp_Info.pdf,130 kB,2015:07:30 07:16:32+02:00,6
10.7717%2Fpeerj.1208@Suppl.pdf,85 kB,2015:05:22 03:48:54Z,6
10.7717%2Fpeerj.1246@Experiment_1_Growout_bags_with_Natural_Substrate.pdf,208 kB,2015:02:21 18:16:41-05:00,6
10.7717%2Fpeerj.1299@Shan_StatisticalComparisons.pdf,299 kB,2015:03:24 18:39:40-06:00,6
10.7717%2Fpeerj.23@Supplemental_Table_1.pdf,106 kB,2012:11:28 17:43:26Z,6
10.7717%2Fpeerj.267@SupplementalInformation.pdf,752 kB,2013:11:04 08:16:46-08:00,6
10.7717%2Fpeerj.358@Cregger_et_al_2014_3_17Clean.4.pdf,140 kB,2014:03:18 12:44:39Z,6
10.7717%2Fpeerj.480@S5_Survey_form_at_30_years.pdf,221 kB,2014:03:24 16:50:51+02:00,6
10.7717%2Fpeerj.562@Roberts_&_St_John_SI2_R1.pdf,107 kB,2014:08:01 10:27:54Z,6
10.7717%2Fpeerj.610@Supplemental_Script_S1.pdf,23 kB,2014:07:03 20:37:51-05:00,6
10.7717%2Fpeerj.682@Raw_Data.pdf,47 kB,2014:10:02 15:03:06Z,6
10.7717%2Fpeerj.687@BOLD_2_back_effect_60mg_only.pdf,145 kB,2014:07:31 21:11:33Z,6
10.7717%2Fpeerj.687@SupplementalFigure2_corrected.pdf,156 kB,2014:07:31 21:11:33Z,6
10.7717%2Fpeerj.743@Greylag_Raw_Data.pdf,28 kB,2014:12:23 17:23:43Z,6
10.7717%2Fpeerj.783@StarkeClayton_supplement.pdf,249 kB,2015:03:22 20:33:41+00:00,6
10.7717%2Fpeerj.919@SuppFigs.pdf,5.0 MB,2015:03:11 20:15:39Z,6
10.7717%2Fpeerj.102@S2_trial_protocol.pdf,93 kB,2013:05:25 23:32:45+02:00,5
10.7717%2Fpeerj.1151@CSO_Appendix_A_-_PeerJ.pdf,504 kB,2015:07:02 16:55:51-04:00,5
10.7717%2Fpeerj.1161@Appendix_1.pdf,65 kB,2015:07:15 10:32:29Z,5
10.7717%2Fpeerj.1162@PeerJ_Moser_etal_SI_Proof.pdf,111 kB,2015:07:28 10:07:09+02:00,5
10.7717%2Fpeerj.1340@mparker.peerjppr.figureS5.pdf,386 kB,2015:09:11 19:38:14-04:00,5
10.7717%2Fpeerj.203@Supplement_S2.pdf,54 kB,2013:10:06 08:22:51-10:00,5
10.7717%2Fpeerj.329@File_S1._Field_observation_and_literature_review_of_Rathousiidae_slugs_and_Lampyridae_beetle_larvae_predatory_behaviours..pdf,194 kB,2014:02:20 13:15:04+01:00,5
10.7717%2Fpeerj.433@Supplement_revised.pdf,175 kB,2014:05:20 16:57:40+02:00,5
10.7717%2Fpeerj.572@eDistractions_results.pdf,277 kB,2013:07:29 18:08:21Z,5
10.7717%2Fpeerj.644@Supplemental_Article_S1.pdf,246 kB,2014:08:13 07:46:41,5
10.7717%2Fpeerj.71@Supplementary materials2.pdf,63 kB,2013:02:12 16:55:48+11:00,5
10.7717%2Fpeerj.755@SI2_Table_pelican_model.pdf,61 kB,2015:01:16 14:07:04+01:00,5
10.7717%2Fpeerj.834@spm_mult_peerJ.pdf,130 kB,2015:02:02 09:20:43-06:00,5
10.7717%2Fpeerj.834@spm_shifted_peerj.pdf,143 kB,2015:02:02 09:19:22-06:00,5
"10.7717%2Fpeerj.1012@Sutton,_A_-_Appendix_A_[Sea_Eagle_Interview_Protocol].pdf",89 kB,2014:12:05 00:33:48Z,4
10.7717%2Fpeerj.1040@Supplementary_Information.pdf,659 kB,2015:04:22 14:01:23Z,4
10.7717%2Fpeerj.1096@DS_IFC_-_enroll_90.pdf,2.3 MB,2012:01:09 11:33:00-05:00,4
10.7717%2Fpeerj.1207@Supplementary_information.pdf,291 kB,2015:05:18 10:51:38+03:00,4
10.7717%2Fpeerj.1225@Supplementary_table_1.pdf,128 kB,2015:07:21 10:12:27Z,4
10.7717%2Fpeerj.1241@Table_S1.pdf,193 kB,2015:08:20 00:47:25-03:00,4
10.7717%2Fpeerj.1247@Fig_S3(pSH350-1amb-immE3_seq)HM.pdf,301 kB,2015:08:21 08:08:04Z,4
10.7717%2Fpeerj.1247@Fig_S4(pTYR_MjIYRS2-1(D286)MJR1x3_seq).pdf,211 kB,2015:08:21 03:26:48Z,4
10.7717%2Fpeerj.1278@Supp_file_2_Final_DORA_questionnaire.pdf,485 kB,2015:09:04 00:33:59+01:00,4
10.7717%2Fpeerj.128@DA_COI_statement_from_2011_on.pdf,351 kB,2013:03:07 12:09:35+01:00,4
10.7717%2Fpeerj.1366@tasSuit_supplementaryMaterial2.pdf,606 kB,2015:09:22 08:49:09+10:00,4
10.7717%2Fpeerj.164@IRB_Determination.pdf,233 kB,2013:05:25 22:58:26+03:00,4
10.7717%2Fpeerj.171@Supp_S2.pdf,135 kB,2013:06:03 19:55:17Z,4
10.7717%2Fpeerj.22@2008001361_consent.pdf,268 kB,2012:11:28 04:55:45Z,4
10.7717%2Fpeerj.25@LPT2protocol.pdf,74 kB,,4
10.7717%2Fpeerj.269@SUPP_10_combined_posthoc_results.pdf,115 kB,2013:03:02 14:57:39Z,4
10.7717%2Fpeerj.280@Supplementary_Material.pdf,691 kB,2014:01:09 14:02:09+11:00,4
10.7717%2Fpeerj.321@Hird_SuppFigs.pdf,178 kB,2013:10:02 21:16:33Z,4
10.7717%2Fpeerj.32@SupplementalDocumentS1.pdf,306 kB,2013:01:15 13:03:10+01:00,4
10.7717%2Fpeerj.557@ESM.pdf,231 kB,2013:04:26 18:31:25-05:00,4
10.7717%2Fpeerj.582@SupplTable2.pdf,104 kB,2014:04:27 00:26:01Z,4
10.7717%2Fpeerj.583@cov_peer_sup.pdf,813 kB,2014:08:12 17:30:46+02:00,4
10.7717%2Fpeerj.632@evangelista-supplemental.pdf,356 kB,2014:09:01 08:01:48-04:00,4
10.7717%2Fpeerj.663@newFigS1.pdf,64 kB,2014:10:24 13:13:51-07:00,4
10.7717%2Fpeerj.68@Supplemental_Figure_S3.pdf,224 kB,2013:03:04 11:07:20-05:00,4
10.7717%2Fpeerj.68@Supplemental_Figure_S4.pdf,626 kB,2013:03:04 11:19:04-05:00,4
10.7717%2Fpeerj.709@Kozlov-etal-appendix2-090914.pdf,847 kB,2014:09:09 09:51:38+03:00,4
10.7717%2Fpeerj.755@SI1_Table_Reference_model.pdf,53 kB,2014:12:11 16:34:25+01:00,4
10.7717%2Fpeerj.760@SI1.pdf,94 kB,2015:01:20 09:34:15+01:00,4
10.7717%2Fpeerj.760@SI2.pdf,208 kB,2015:01:20 09:34:41+01:00,4
10.7717%2Fpeerj.818@Supp_Figure2.pdf,406 kB,2013:12:20 15:37:34-07:00,4
10.7717%2Fpeerj.830@Fig_S1.pdf,29 kB,2014:12:07 17:22:09+02:00,4
10.7717%2Fpeerj.867@DATA_S1.pdf,62 kB,2015:03:23 21:07:43-07:00,4
10.7717%2Fpeerj.900@Supplemental_Table_S2.pdf,91 kB,2015:03:24 19:36:23-05:00,4
10.7717%2Fpeerj.961@Supplementary_figures.pdf,457 kB,2015:04:23 17:14:22+10:00,4
10.7717%2Fpeerj.990@An_empty_form_template_of_the_proof_of_consent_for_participants.pdf,321 kB,2015:05:12 11:46:11+08:00,4
10.7717%2Fpeerj.1015@APPENDIX_1.pdf,97 kB,2015:05:19 15:49:25Z,3
10.7717%2Fpeerj.1040@Raw_Figure_1.pdf,2.9 MB,2015:05:19 02:53:23Z,3
10.7717%2Fpeerj.1055@Formofconsent.pdf,144 kB,2015:02:11 15:43:17,3
10.7717%2Fpeerj.1115@ConsentForm_07-22-2014.pdf,125 kB,2014:07:22 14:03:49-04:00,3
10.7717%2Fpeerj.1161@Appendix_3.pdf,101 kB,2014:11:28 14:00:58Z,3
10.7717%2Fpeerj.1161@Appendix_4.pdf,95 kB,2015:06:04 13:45:09Z,3
10.7717%2Fpeerj.1191@SuppFigs4524.pdf,1018 kB,,3
10.7717%2Fpeerj.1241@Table_S3.pdf,38 kB,2015:08:20 00:52:36-03:00,3
10.7717%2Fpeerj.1314@150928-supplemental_methods.pdf,87 kB,2015:09:28 15:00:39-04:00,3
10.7717%2Fpeerj.1346@Suppl_Inf_1_Captivity_Immobilisation.pdf,81 kB,2015:09:24 11:30:13Z,3
10.7717%2Fpeerj.265@Liczner-Lortie-2013PRISMA_2009_Checklist.pdf,211 kB,2013:11:26 00:41:46,3
10.7717%2Fpeerj.282@Supplementary__material__Rapid_protocol.pdf,71 kB,2011:02:25 15:05:48Z,3
10.7717%2Fpeerj.296@suppl_table_1_Site_table.pdf,276 kB,2014:01:27 18:01:21-06:00,3
10.7717%2Fpeerj.312@IRB_approval.pdf,117 kB,2012:03:08 16:31:03-06:00,3
10.7717%2Fpeerj.371@SupplementalTableS1Revised.pdf,71 kB,2015:01:05 01:20:53Z,3
10.7717%2Fpeerj.392@Supplement_2_finalb.pdf,238 kB,2014:03:27 12:46:38-04:00,3
10.7717%2Fpeerj.466@Appendixes.pdf,93 kB,2014:03:31 14:58:57Z,3
10.7717%2Fpeerj.47@TableS4.pdf,99 kB,2013:02:12 22:35:04Z,3
10.7717%2Fpeerj.480@S1_Background_information_9_years.pdf,338 kB,2014:03:24 16:24:11+02:00,3
10.7717%2Fpeerj.480@S8_Variable_importance_in_random_forest_classification_all_variables.pdf,279 kB,2014:03:25 09:51:44+02:00,3
10.7717%2Fpeerj.536@Invitation_to_participate_in_a_study_general[English].pdf,131 kB,2014:04:01 06:15:46,3
10.7717%2Fpeerj.57@McKiernan_SloMS_Supplemental1.pdf,428 kB,2013:03:14 00:28:46-06:00,3
10.7717%2Fpeerj.59@Table S1.pdf,16 kB,2013:01:17 17:40:32+01:00,3
10.7717%2Fpeerj.650@Huang.Supplemental.TableS1.pdf,10 kB,2014:09:21 13:20:03-05:00,3
10.7717%2Fpeerj.806@SI_Article1.pdf,69 kB,2015:01:27 20:19:19Z,3
10.7717%2Fpeerj.1028@Supplemental_figure_S2.pdf,409 kB,2015:02:09 20:07:34Z,2
10.7717%2Fpeerj.102@S1_CONSORT_checklist.pdf,201 kB,2013:05:26 00:31:36+02:00,2
10.7717%2Fpeerj.1069@appendix.pdf,68 kB,2015:06:05 00:59:19Z,2
10.7717%2Fpeerj.1071@Supplemental_Table_S3.pdf,58 kB,2015:05:23 11:18:10+09:00,2
10.7717%2Fpeerj.1071@Supplemental_Table_S6.pdf,60 kB,2015:05:23 11:19:46+09:00,2
10.7717%2Fpeerj.1096@IRBApproval.pdf,1104 kB,2011:11:17 15:40:37-05:00,2
10.7717%2Fpeerj.1134@permit.pdf,1355 kB,,2
10.7717%2Fpeerj.1213@Supplementary_Table_S1-2.pdf,85 kB,2015:03:10 22:52:40Z,2
10.7717%2Fpeerj.1243@supplement3.pdf,87 kB,2015:08:19 15:12:41Z,2
10.7717%2Fpeerj.1255@Supplement_1_-_PRISMA_2009_checklist.pdf,115 kB,2015:07:06 21:15:52Z,2
10.7717%2Fpeerj.1278@Supp_file_1_Semistructured_interview_guide.pdf,278 kB,2015:09:04 00:32:51+01:00,2
10.7717%2Fpeerj.1292@Figure_S1.pdf,101 kB,2015:07:12 07:12:14+08:00,2
10.7717%2Fpeerj.1299@Shan_AssementsOfExpertAdjudicators.pdf,230 kB,2015:06:20 21:13:39-06:00,2
10.7717%2Fpeerj.1308@Ovule_treatment_S[1].pdf,64 kB,2014:12:22 12:12:08Z,2
10.7717%2Fpeerj.1344@ProCS15_SuppMat.pdf,48 kB,2015:08:23 09:10:31Z,2
10.7717%2Fpeerj.1353@Supplemental_table_S2.pdf,105 kB,2015:08:11 15:03:37+02:00,2
10.7717%2Fpeerj.171@Supp_S3.pdf,80 kB,2013:08:09 20:44:05Z,2
10.7717%2Fpeerj.175@S1.pdf,77 kB,2013:04:03 12:18:05Z,2
10.7717%2Fpeerj.203@Supplement_S1.pdf,98 kB,2013:10:06 08:20:25-10:00,2
10.7717%2Fpeerj.203@Supplement_S3.pdf,81 kB,2013:10:06 08:24:23-10:00,2
10.7717%2Fpeerj.289@Supplemental_Article_S1.pdf,588 kB,2013:11:01 19:02:28+01:00,2
10.7717%2Fpeerj.28@Fig S1.pdf,30 kB,2013:01:07 19:39:28Z,2
10.7717%2Fpeerj.43@8601_ter_guidelines.pdf,374 kB,2011:09:21 15:23:43+10:00,2
10.7717%2Fpeerj.480@S2_teachers_assessment_at_9_years.pdf,346 kB,2014:03:27 20:53:39+02:00,2
10.7717%2Fpeerj.480@S3_Background_information__at_16_years.pdf,314 kB,2014:03:24 16:32:15+02:00,2
10.7717%2Fpeerj.480@S7_Supplement_table_variables_tested_response_vs_nonresponse.pdf,121 kB,2014:03:24 15:10:52+02:00,2
10.7717%2Fpeerj.548@ISTDP_effectiveness_S1_CONSORT_checklist.pdf,202 kB,2014:06:01 01:31:28-03:00,2
10.7717%2Fpeerj.565@Supplementary_material.pdf,79 kB,2014:06:24 04:47:19+02:00,2
10.7717%2Fpeerj.613@ALL-Hypoxie-N-pdf.pdf,96 kB,2014:07:12 12:47:21+07:00,2
10.7717%2Fpeerj.613@ALL-Mortaliy-N-pdf.pdf,96 kB,2014:07:12 12:48:20+07:00,2
10.7717%2Fpeerj.613@ALL-Mortaliy-%-pdf.pdf,96 kB,2014:07:12 12:41:47+07:00,2
10.7717%2Fpeerj.613@ALL-PONV-N-pdf.pdf,97 kB,2014:07:12 12:52:52+07:00,2
10.7717%2Fpeerj.613@ALL-PONV-%-pdf.pdf,97 kB,2014:07:12 12:51:49+07:00,2
10.7717%2Fpeerj.613@ALL-SSI-N-pdf.pdf,96 kB,2014:07:12 12:54:44+07:00,2
10.7717%2Fpeerj.613@ALL-SSI-%-pdf.pdf,98 kB,2014:07:12 12:53:50+07:00,2
10.7717%2Fpeerj.613@ALL-UICU-%-pdf.pdf,96 kB,2014:07:12 12:55:59+07:00,2
10.7717%2Fpeerj.665@supplemental_s1_movement.pdf,179 kB,2014:10:14 13:32:50-05:00,2
10.7717%2Fpeerj.665@supplemental_s2_structure.pdf,185 kB,2014:10:16 10:35:36-05:00,2
10.7717%2Fpeerj.687@ASL_2_back_effect_60mg_only_5p7.pdf,109 kB,2014:08:01 19:24:46Z,2
"10.7717%2Fpeerj.687@ASL_SYN_effect_fix_and_2_back,_12_subs_5p7mm.pdf",100 kB,2014:07:31 21:53:05Z,2
10.7717%2Fpeerj.687@ASL_SYN_on_2_back_60_mg_only_fixand2back_5p7.pdf,101 kB,2014:07:23 16:37:09Z,2
10.7717%2Fpeerj.687@BOLD_SYN_effect_60_mg_only.pdf,101 kB,2014:08:06 18:04:55Z,2
10.7717%2Fpeerj.687@BOLD_SYN_on_2_back_60mg_only.pdf,101 kB,2014:08:01 19:41:33Z,2
10.7717%2Fpeerj.687@SupplementalFigure10.pdf,100 kB,2014:10:24 18:54:09Z,2
10.7717%2Fpeerj.687@SupplementalFigure11.pdf,86 kB,2014:07:23 16:36:33Z,2
10.7717%2Fpeerj.687@SupplementalFigure12.pdf,102 kB,2014:08:01 19:44:19Z,2
10.7717%2Fpeerj.687@SupplementalFigure1.pdf,109 kB,2014:08:01 19:24:46Z,2
10.7717%2Fpeerj.687@SupplementalFigure3.pdf,101 kB,2014:07:23 16:37:09Z,2
10.7717%2Fpeerj.687@SupplementalFigure4.pdf,101 kB,2014:08:01 19:41:33Z,2
10.7717%2Fpeerj.687@SupplementalFigure5.pdf,100 kB,2014:07:31 21:53:05Z,2
10.7717%2Fpeerj.687@SupplementalFigure6.pdf,101 kB,2014:08:06 18:04:55Z,2
10.7717%2Fpeerj.687@SupplementalFigure7.pdf,99 kB,2014:10:24 18:48:09Z,2
10.7717%2Fpeerj.687@SupplementalFigure8.pdf,100 kB,2014:10:24 22:29:00Z,2
10.7717%2Fpeerj.687@SupplementalFigure9.pdf,98 kB,2014:10:24 22:39:31Z,2
10.7717%2Fpeerj.709@Kozlov-etal-appendix4-091114.pdf,80 kB,2014:11:09 15:21:11+02:00,2
10.7717%2Fpeerj.725@DrugOn_quick_guide.pdf,363 kB,2014:04:01 14:18:58+03:00,2
10.7717%2Fpeerj.746@vvvvPRISMA_2009_Checklist.pdf,990 kB,2009:08:07 13:56:47-04:00,2
